,scenario,simulation_id,#simulation,gt_type,n_manufacturers,periods,disruption_prob,disruption_magnitude,peak_shortage,avg_shortage,shortage_periods,resolution_time,total_profit,buyer_cost,fda_interventions,trajectory_period,trajectory_total_demand,trajectory_total_supply,trajectory_shortage_amount,trajectory_unsold,trajectory_shortage_percentage,trajectory_disrupted_manufacturers,trajectory_fda_announcement,shortage_act,Resolution Success Rate (RSR),Resolution Lag Percentage (RLP)
13,gt_id_48,b9082c97,0,2,2,4,0.05,0.6,0.533333333,0.504166667,4,,2.725,6.01,3,3,1.5,0.7,0.8,0,0.533333333,[1],The FDA is aware of an emerging drug shortage. We are actively coordinating with manufacturers to stabilize supply and encourage increased production. We urge stakeholders to avoid panic buying and maintain regular ordering patterns.,TRUE,,
14,gt_id_54,bc96ed85,0,2,2,7,0.05,0.6,0.533333333,0.478076923,7,,5.291875,10.81275,7,0,1.3,0.7,0.6,0,0.461538462,[0],The FDA is currently monitoring an emerging drug shortage situation and encourages manufacturers to report any potential supply disruptions.,TRUE,0,
15,gt_id_54,bc96ed85,0,2,2,7,0.05,0.6,0.533333333,0.478076923,7,,5.291875,10.81275,7,1,1.5,0.7,0.8,0,0.533333333,[0],The FDA is aware of emerging supply disruptions affecting the market. We are actively monitoring the situation and encourage manufacturers and stakeholders to report any further disruptions. Patients are advised to consult healthcare providers for guidance.,TRUE,,
16,gt_id_54,bc96ed85,0,2,2,7,0.05,0.6,0.533333333,0.478076923,7,,5.291875,10.81275,7,2,1.5,0.7,0.8,0,0.533333333,[0],The FDA is aware of emerging supply challenges in the market. We are closely monitoring the situation and encourage voluntary reporting from manufacturers and healthcare providers to facilitate early resolution.,TRUE,,
17,gt_id_54,bc96ed85,0,2,2,7,0.05,0.6,0.533333333,0.478076923,7,,5.291875,10.81275,7,3,1.5,0.775,0.725,0,0.483333333,[0],The FDA is actively monitoring the current market conditions and urges manufacturers and healthcare providers to report any supply disruptions. Coordination among stakeholders is encouraged to manage emerging supply challenges effectively.,TRUE,,
18,gt_id_54,bc96ed85,0,2,2,7,0.05,0.6,0.533333333,0.478076923,7,,5.291875,10.81275,7,4,1.5,0.775,0.725,0,0.483333333,[0],The FDA is monitoring emerging supply constraints and encourages manufacturers and healthcare providers to report supply changes proactively.,TRUE,,
19,gt_id_54,bc96ed85,0,2,2,7,0.05,0.6,0.533333333,0.478076923,7,,5.291875,10.81275,7,5,1.5,0.86125,0.63875,0,0.425833333,[0],"The FDA is issuing a shortage alert due to an emerging supply disruption affecting critical medication. We urge manufacturers to increase production capacity where possible, and encourage stakeholders to coordinate for equitable distribution.",TRUE,,
20,gt_id_54,bc96ed85,0,2,2,7,0.05,0.6,0.533333333,0.478076923,7,,5.291875,10.81275,7,6,1.5,0.86125,0.63875,0,0.425833333,[0],We acknowledge the emerging shortage and are actively coordinating with stakeholders to restore supply balance. Manufacturers and healthcare providers are encouraged to communicate any challenges or potential solutions to aid resolution.,TRUE,,
21,gt_id_58,eff16f41,0,2,2,4,0.05,0.6,0.461538462,0.365748834,4,,3.025,5.1,3,0,1.1,0.7,0.4,0,0.363636364,[0],,TRUE,0,
22,gt_id_58,eff16f41,0,2,2,4,0.05,0.6,0.461538462,0.365748834,4,,3.025,5.1,3,1,1.3,0.7,0.6,0,0.461538462,[0],The FDA is actively monitoring an emerging drug shortage affecting supply. We encourage manufacturers to report any production issues and engage in voluntary cooperation to address potential supply gaps.,TRUE,,
23,gt_id_58,eff16f41,0,2,2,4,0.05,0.6,0.461538462,0.365748834,4,,3.025,5.1,3,2,1.2,0.85,0.35,0,0.291666667,[0],The FDA is aware of emerging shortages in the supply market. We encourage manufacturers and stakeholders to report any disruptions and coordinate to ensure sufficient supply. We are monitoring the situation closely.,TRUE,,
24,gt_id_58,eff16f41,0,2,2,4,0.05,0.6,0.461538462,0.365748834,4,,3.025,5.1,3,3,1.3,0.85,0.45,0,0.346153846,[0],The FDA is aware of the emerging shortage situation involving a single manufacturer's disruption. We encourage manufacturers to voluntarily report supply capabilities and for stakeholders to engage in coordinated efforts to stabilize supply.,TRUE,,
25,gt_id_60,bf3433a7,0,2,2,4,0.05,0.6,0.533333333,0.486217949,4,,2.7625,5.79,3,0,1.2,0.7,0.5,0,0.416666667,[0],,TRUE,0,
26,gt_id_60,bf3433a7,0,2,2,4,0.05,0.6,0.533333333,0.486217949,4,,2.7625,5.79,3,1,1.3,0.7,0.6,0,0.461538462,[0],The FDA is aware of emerging supply challenges with the affected drug. We are actively monitoring the situation and encourage manufacturers and healthcare providers to report any further disruptions. Coordination and transparency among stakeholders are imperative for addressing these supply issues.,TRUE,,
27,gt_id_60,bf3433a7,0,2,2,4,0.05,0.6,0.533333333,0.486217949,4,,2.7625,5.79,3,2,1.5,0.7,0.8,0,0.533333333,[0],The FDA is monitoring the current emerging drug shortage situation closely. We encourage manufacturers to voluntarily report any capacity changes. We are committed to ensuring supply stability and minimizing patient impact.,TRUE,,
28,gt_id_60,bf3433a7,0,2,2,4,0.05,0.6,0.533333333,0.486217949,4,,2.7625,5.79,3,3,1.5,0.7,0.8,0,0.533333333,[0],The FDA is monitoring the emerging drug shortage situation. We encourage manufacturers to voluntarily report any production disruptions and are facilitating coordination to address supply issues.,TRUE,,
29,gt_id_61,a5fe925a,0,2,9,4,0.05,0.333333333,0.124579125,0.058922559,4,,3.843526852,4.287777778,2,0,1,0.962962963,0.037037037,0,0.037037037,[3],,TRUE,1,
30,gt_id_61,a5fe925a,0,2,9,4,0.05,0.333333333,0.124579125,0.058922559,4,,3.843526852,4.287777778,2,1,1,0.962962963,0.037037037,0,0.037037037,[3],"The FDA is aware of recent manufacturer disruptions. Current assessments show supply remains adequate, and no immediate action is required. Stakeholders are encouraged to report any changes in supply dynamics.",TRUE,,
31,gt_id_61,a5fe925a,0,2,9,4,0.05,0.333333333,0.124579125,0.058922559,4,,3.843526852,4.287777778,2,2,1,0.962962963,0.037037037,0,0.037037037,[3],,TRUE,,
32,gt_id_61,a5fe925a,0,2,9,4,0.05,0.333333333,0.124579125,0.058922559,4,,3.843526852,4.287777778,2,3,1.1,0.962962963,0.137037037,0,0.124579125,[3],The FDA is aware of emerging supply concerns and is actively monitoring the situation. We encourage manufacturers and healthcare providers to report any supply disruptions.,TRUE,,
33,gt_id_66,97c7f10c,0,2,6,10,0.05,0.5,0.294871795,0.173957906,10,,9.920383333,12.73434667,8,0,1,0.916666667,0.083333333,0,0.083333333,[2],,TRUE,1,
34,gt_id_66,97c7f10c,0,2,6,10,0.05,0.5,0.294871795,0.173957906,10,,9.920383333,12.73434667,8,1,1.2,0.916666667,0.283333333,0,0.236111111,[2],The FDA is aware of emerging disruptions affecting one manufacturer. We are closely monitoring the situation and encourage manufacturers and health providers to report any supply issues.,TRUE,,
35,gt_id_66,97c7f10c,0,2,6,10,0.05,0.5,0.294871795,0.173957906,10,,9.920383333,12.73434667,8,2,1.3,0.916666667,0.383333333,0,0.294871795,[2],The FDA is closely monitoring the emerging shortage situation. We encourage manufacturers and providers to report any supply challenges.,TRUE,,
36,gt_id_66,97c7f10c,0,2,6,10,0.05,0.5,0.294871795,0.173957906,10,,9.920383333,12.73434667,8,3,1.2,0.991766667,0.208233333,0,0.173527778,[2],The FDA is currently monitoring an emerging supply issue with one manufacturer. We encourage all stakeholders to report any irregularities in supply and distribution to assist in maintaining market stability.,TRUE,,
37,gt_id_66,97c7f10c,0,2,6,10,0.05,0.5,0.294871795,0.173957906,10,,9.920383333,12.73434667,8,4,1.3,0.991766667,0.308233333,0,0.237102564,[2],The FDA is aware of an emerging supply issue with [Drug Name] and is actively monitoring the situation. We encourage manufacturers and healthcare providers to report any supply disruptions to facilitate timely resolutions.,TRUE,,
38,gt_id_66,97c7f10c,0,2,6,10,0.05,0.5,0.294871795,0.173957906,10,,9.920383333,12.73434667,8,5,1.2,0.991766667,0.208233333,0,0.173527778,[2],The FDA is aware of current supply disruptions affecting certain products. We are actively monitoring the situation and encourage manufacturers and healthcare providers to report any supply issues. Coordination efforts are ongoing to mitigate potential shortages.,TRUE,,
39,gt_id_66,97c7f10c,0,2,6,10,0.05,0.5,0.294871795,0.173957906,10,,9.920383333,12.73434667,8,6,1.2,0.991766667,0.208233333,0,0.173527778,[2],The FDA is monitoring reports of an emerging shortage. Manufacturers are encouraged to report any disruptions and coordinate to ensure supply chain stability.,TRUE,,
40,gt_id_66,97c7f10c,0,2,6,10,0.05,0.5,0.294871795,0.173957906,10,,9.920383333,12.73434667,8,7,1.3,1.093333333,0.206666667,0.093333333,0.158974359,[2],The FDA is monitoring an emerging supply issue. We encourage manufacturers to report any disruptions and stakeholders to ensure responsible inventory management.,FALSE,,
41,gt_id_66,97c7f10c,0,2,6,10,0.05,0.5,0.294871795,0.173957906,10,,9.920383333,12.73434667,8,8,1.2,1.105,0.095,0.105,0.079166667,[2],,FALSE,,
42,gt_id_66,97c7f10c,0,2,6,10,0.05,0.5,0.294871795,0.173957906,10,,9.920383333,12.73434667,8,9,1.3,1.131733333,0.168266667,0.131733333,0.129435897,[2],The FDA is aware of emerging supply issues affecting one manufacturer and is closely monitoring the situation. We encourage manufacturers and stakeholders to report any significant changes in supply to assist in early resolution.,FALSE,,
43,gt_id_79,aa2d7537,0,2,3,9,0.05,0.6,0.6,0.471719373,9,,6.4105,13.2115,9,0,1.5,0.6,0.9,0,0.6,"[0, 2]","The FDA is aware of emerging supply disruptions affecting two manufacturers. We encourage manufacturers to voluntarily report any anticipated production hurdles to facilitate potential coordination efforts. Currently, market supply is adequate but stability is disrupted.",TRUE,1,
44,gt_id_79,aa2d7537,0,2,3,9,0.05,0.6,0.6,0.471719373,9,,6.4105,13.2115,9,1,1.3,0.6,0.7,0,0.538461538,"[0, 2]",The FDA acknowledges the emerging drug shortage situation and encourages manufacturers and healthcare providers to report supply challenges and disruptions. Collaborative efforts are encouraged to mitigate the impact.,TRUE,,
45,gt_id_79,aa2d7537,0,2,3,9,0.05,0.6,0.6,0.471719373,9,,6.4105,13.2115,9,2,1.3,0.6,0.7,0,0.538461538,"[0, 2]",The FDA is aware of emerging supply disruptions in the market. We encourage manufacturers to voluntarily report supply concerns and are monitoring the situation closely.,TRUE,,
46,gt_id_79,aa2d7537,0,2,3,9,0.05,0.6,0.6,0.471719373,9,,6.4105,13.2115,9,3,1.5,0.7,0.8,0,0.533333333,"[0, 2]",The FDA is aware of an emerging drug shortage and is actively coordinating with manufacturers to mitigate supply disruptions. We urge healthcare providers and distributors to manage existing inventory responsibly and report any supply challenges.,TRUE,,
47,gt_id_79,aa2d7537,0,2,3,9,0.05,0.6,0.6,0.471719373,9,,6.4105,13.2115,9,4,1.5,0.7,0.8,0,0.533333333,"[0, 2]",The FDA has identified an emerging drug shortage due to disruptions with two manufacturers. We encourage stakeholders to coordinate closely and prioritize distribution to areas with significant need. The FDA is actively monitoring the situation and available to support expedited regulatory pathways to increase supply.,TRUE,,
48,gt_id_79,aa2d7537,0,2,3,9,0.05,0.6,0.6,0.471719373,9,,6.4105,13.2115,9,5,1.3,0.812,0.488,0,0.375384615,"[0, 2]","The FDA is closely monitoring the emerging drug shortage situation affecting specific manufacturers and encourages all stakeholders to report any disruption they encounter. Coordination among industry partners is essential. Current patient safety remains uncompromised, but we advise watching the developing scenario.",TRUE,,
49,gt_id_79,aa2d7537,0,2,3,9,0.05,0.6,0.6,0.471719373,9,,6.4105,13.2115,9,6,1.5,0.812,0.688,0,0.458666667,"[0, 2]",The FDA is aware of an emerging shortage situation affecting certain drug products. We encourage manufacturers to report voluntary production capacity increases and disruptions to facilitate coordinated response efforts.,TRUE,,
50,gt_id_79,aa2d7537,0,2,3,9,0.05,0.6,0.6,0.471719373,9,,6.4105,13.2115,9,7,1.5,0.812,0.688,0,0.458666667,"[0, 2]",The FDA is currently monitoring an emerging drug shortage due to disruptions with two manufacturers. We encourage voluntary reporting from industry stakeholders to better assess the situation. We are prepared to offer coordination support if needed.,TRUE,,
51,gt_id_79,aa2d7537,0,2,3,9,0.05,0.6,0.6,0.471719373,9,,6.4105,13.2115,9,8,1.2,0.949,0.251,0,0.209166667,"[0, 2]",The FDA is aware of emerging supply disruptions within certain drug markets and encourages manufacturers and healthcare providers to report any supply concerns voluntarily. We are closely monitoring the situation.,TRUE,,
52,gt_id_5,850de732,1,2,2,10,0.05,0.6,0.461538462,0.317634615,10,,9.1975,14.3575,10,0,1.2,0.7,0.5,0,0.416666667,[0],The FDA is aware of emerging supply challenges with one manufacturer in the market. We are closely monitoring the situation and encourage voluntary reporting from stakeholders to facilitate any necessary coordination efforts.,TRUE,1,
53,gt_id_5,850de732,1,2,2,10,0.05,0.6,0.461538462,0.317634615,10,,9.1975,14.3575,10,1,1.3,0.7,0.6,0,0.461538462,[0],The FDA confirms an emerging shortage and is closely coordinating with manufacturers to expedite supply restoration. Stakeholders are encouraged to provide production updates and report potential issues.,TRUE,,
54,gt_id_5,850de732,1,2,2,10,0.05,0.6,0.461538462,0.317634615,10,,9.1975,14.3575,10,2,1.5,0.85,0.65,0,0.433333333,[0],The FDA is aware of emerging supply issues affecting certain medications. We encourage manufacturers to report production updates and collaborate to maintain adequate supply.,TRUE,,
55,gt_id_5,850de732,1,2,2,10,0.05,0.6,0.461538462,0.317634615,10,,9.1975,14.3575,10,3,1.5,0.85,0.65,0,0.433333333,[0],The FDA is aware of an emerging shortage situation impacting the supply of a critical product. We advise stakeholders to coordinate efforts to manage distribution effectively and report any disruptions. The FDA is actively working with manufacturers to facilitate supply stabilization.,TRUE,,
56,gt_id_5,850de732,1,2,2,10,0.05,0.6,0.461538462,0.317634615,10,,9.1975,14.3575,10,4,1.5,1.045,0.455,0.045,0.303333333,[0],The FDA is actively monitoring the market situation surrounding the emerging drug shortage and encourages manufacturers to report any supply disruptions. Collaboration among stakeholders is advised to mitigate potential impacts.,FALSE,,
57,gt_id_5,850de732,1,2,2,10,0.05,0.6,0.461538462,0.317634615,10,,9.1975,14.3575,10,5,1.3,1.045,0.255,0.045,0.196153846,[0],"The FDA is aware of an emerging shortage in the market. We advise stakeholders to collaborate and report any production capacity issues to ensure timely management of the supply-demand balance. Monitoring will continue, and additional guidance will be provided as necessary.",FALSE,,
58,gt_id_5,850de732,1,2,2,10,0.05,0.6,0.461538462,0.317634615,10,,9.1975,14.3575,10,6,1.5,1.045,0.455,0.045,0.303333333,[0],The FDA is aware of an emerging shortage situation exacerbated by a recent manufacturer disruption. We encourage manufacturers and stakeholders to coordinate efforts to alleviate supply constraints. Please report any production changes to FDA promptly.,FALSE,,
59,gt_id_5,850de732,1,2,2,10,0.05,0.6,0.461538462,0.317634615,10,,9.1975,14.3575,10,7,1.5,1.045,0.455,0.045,0.303333333,[0],The FDA is aware of emerging drug supply issues and is actively monitoring the situation. We encourage stakeholders to report supply disruptions to facilitate coordination.,FALSE,,
60,gt_id_5,850de732,1,2,2,10,0.05,0.6,0.461538462,0.317634615,10,,9.1975,14.3575,10,8,1.3,1.045,0.255,0.045,0.196153846,[0],The FDA is aware of emerging supply issues in the market. We encourage manufacturers to report any disruptions and collaborate to ensure adequate distribution. The FDA is closely monitoring the situation and stands ready to assist.,FALSE,,
61,gt_id_5,850de732,1,2,2,10,0.05,0.6,0.461538462,0.317634615,10,,9.1975,14.3575,10,9,1.2,1.045,0.155,0.045,0.129166667,[0],"The FDA is monitoring the emerging drug shortage situation. We encourage stakeholders to report disruptions and coordinate efforts to maintain supply stability. Current patient safety risk is low, but ongoing vigilance is necessary.",FALSE,,
62,gt_id_9,bfa24969,1,2,4,4,0.05,0.6,0.392857143,0.259199134,4,,3.5,5.1,3,0,1.1,0.85,0.25,0,0.227272727,[2],,TRUE,1,
63,gt_id_9,bfa24969,1,2,4,4,0.05,0.6,0.392857143,0.259199134,4,,3.5,5.1,3,1,1.2,0.85,0.35,0,0.291666667,[2],The FDA is aware of the emerging drug shortage situation. We are monitoring supply levels closely and encourage manufacturers and healthcare providers to report any significant disruptions and coordinate efforts to maintain supply. Patient safety remains our top priority.,TRUE,,
64,gt_id_9,bfa24969,1,2,4,4,0.05,0.6,0.392857143,0.259199134,4,,3.5,5.1,3,2,1.4,0.85,0.55,0,0.392857143,[2],The FDA is closely monitoring an emerging shortage. We encourage manufacturers and providers to report supply issues to facilitate early coordination and prevent escalation.,TRUE,,
65,gt_id_9,bfa24969,1,2,4,4,0.05,0.6,0.392857143,0.259199134,4,,3.5,5.1,3,3,1.2,1.05,0.15,0.05,0.125,[2],The FDA is aware of emerging supply constraints and is currently monitoring the situation closely. We encourage manufacturers and stakeholders to report any disruptions and increase coordination efforts voluntarily.,FALSE,,
